<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;
SPFB.RTS-12.18;1;14.09.2018;11:08;107630,00;107670,00;107630,00;107660,00;8;;;
SPFB.RTS-12.18;1;14.09.2018;11:09;107660,00;107680,00;107660,00;107680,00;4;;;
SPFB.RTS-12.18;1;14.09.2018;11:10;107710,00;107710,00;107680,00;107680,00;3;;;
SPFB.RTS-12.18;1;14.09.2018;11:11;107640,00;107640,00;107570,00;107570,00;39;;;
SPFB.RTS-12.18;1;14.09.2018;11:12;107570,00;107600,00;107530,00;107530,00;23;;;
SPFB.RTS-12.18;1;14.09.2018;11:13;107530,00;107530,00;107460,00;107470,00;20;;;
SPFB.RTS-12.18;1;14.09.2018;11:14;107450,00;107450,00;107420,00;107430,00;30;;;
SPFB.RTS-12.18;1;14.09.2018;11:15;107460,00;107470,00;107410,00;107470,00;67;;;
SPFB.RTS-12.18;1;14.09.2018;11:16;107430,00;107470,00;107430,00;107440,00;163;;;
SPFB.RTS-12.18;1;14.09.2018;11:17;107440,00;107500,00;107440,00;107500,00;16;;;
SPFB.RTS-12.18;1;14.09.2018;11:18;107490,00;107490,00;107330,00;107370,00;69;;;
SPFB.RTS-12.18;1;14.09.2018;11:19;107380,00;107450,00;107370,00;107450,00;21;;;
SPFB.RTS-12.18;1;14.09.2018;11:20;107430,00;107430,00;107400,00;107430,00;5;;;
SPFB.RTS-12.18;1;14.09.2018;11:21;107400,00;107580,00;107400,00;107580,00;34;;;
SPFB.RTS-12.18;1;14.09.2018;11:22;107580,00;107600,00;107520,00;107540,00;40;;;
SPFB.RTS-12.18;1;14.09.2018;11:23;107540,00;107560,00;107520,00;107550,00;13;;;
SPFB.RTS-12.18;1;14.09.2018;11:24;107560,00;107630,00;107560,00;107630,00;8;;;
SPFB.RTS-12.18;1;14.09.2018;11:25;107630,00;107630,00;107560,00;107580,00;40;;;
SPFB.RTS-12.18;1;14.09.2018;11:26;107580,00;107580,00;107580,00;107580,00;1;;;
SPFB.RTS-12.18;1;14.09.2018;11:27;107560,00;107560,00;107560,00;107560,00;5;;;
SPFB.RTS-12.18;1;14.09.2018;11:29;107500,00;107510,00;107470,00;107510,00;10;;;
SPFB.RTS-12.18;1;14.09.2018;11:31;107490,00;107490,00;107420,00;107430,00;15;;;
SPFB.RTS-12.18;1;14.09.2018;11:32;107420,00;107450,00;107370,00;107430,00;22;;;
SPFB.RTS-12.18;1;14.09.2018;11:33;107430,00;107450,00;107400,00;107440,00;38;;;
SPFB.RTS-12.18;1;14.09.2018;11:34;107430,00;107430,00;107350,00;107410,00;11;;;
SPFB.RTS-12.18;1;14.09.2018;11:35;107390,00;107390,00;107360,00;107370,00;9;;;
SPFB.RTS-12.18;1;14.09.2018;11:36;107330,00;107400,00;107310,00;107400,00;7;;;
SPFB.RTS-12.18;1;14.09.2018;11:37;107410,00;107410,00;107410,00;107410,00;1;;;
SPFB.RTS-12.18;1;14.09.2018;11:38;107430,00;107430,00;107410,00;107410,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;11:39;107340,00;107400,00;107300,00;107400,00;24;;;
SPFB.RTS-12.18;1;14.09.2018;11:40;107400,00;107480,00;107400,00;107480,00;26;;;
SPFB.RTS-12.18;1;14.09.2018;11:41;107460,00;107460,00;107430,00;107430,00;6;;;
SPFB.RTS-12.18;1;14.09.2018;11:42;107450,00;107450,00;107400,00;107400,00;3;;;
SPFB.RTS-12.18;1;14.09.2018;11:43;107400,00;107400,00;107400,00;107400,00;7;;;
SPFB.RTS-12.18;1;14.09.2018;11:44;107400,00;107400,00;107350,00;107350,00;16;;;
SPFB.RTS-12.18;1;14.09.2018;11:46;107360,00;107390,00;107320,00;107390,00;13;;;
SPFB.RTS-12.18;1;14.09.2018;11:47;107340,00;107340,00;107340,00;107340,00;2;;;
SPFB.RTS-12.18;1;14.09.2018;11:48;107400,00;107410,00;107390,00;107410,00;18;;;
SPFB.RTS-12.18;1;14.09.2018;11:49;107380,00;107400,00;107300,00;107300,00;12;;;
SPFB.RTS-12.18;1;14.09.2018;11:50;107310,00;107310,00;107190,00;107200,00;97;;;
SPFB.RTS-12.18;1;14.09.2018;11:51;107190,00;107260,00;107190,00;107260,00;9;;;
